Wavelength,Intensity
360.00,299.88,0.00
361.07,252.12,0.00
362.00,228.72,0.00
363.07,214.27,0.00
364.00,210.17,0.00
365.07,208.49,0.00
366.00,210.90,0.00
367.07,212.93,0.00
368.00,216.06,0.00
369.07,218.53,0.00
370.00,223.76,0.00
371.07,232.17,0.00
372.00,239.43,0.00
373.07,245.15,0.00
374.00,256.02,0.00
375.07,273.05,0.00
376.00,286.77,0.00
377.07,304.72,0.00
378.00,319.55,0.00
379.07,331.38,0.00
380.00,340.42,0.00
381.07,351.21,0.00
382.00,359.67,0.00
383.07,365.51,0.00
384.00,365.33,0.00
385.07,361.76,0.00
386.00,353.44,0.00
387.07,344.71,0.00
388.00,336.54,0.00
389.07,331.72,0.00
390.00,321.43,0.00
391.07,315.26,0.00
392.00,310.88,0.00
393.07,309.01,0.00
394.00,310.60,0.00
395.07,313.69,0.00
396.00,318.59,0.00
397.07,329.30,0.00
398.00,339.65,0.00
399.07,353.37,0.00
400.00,364.85,0.00
401.06,381.48,0.00
401.96,397.27,0.00
403.03,412.08,0.00
403.93,429.15,0.00
405.00,448.12,0.00
406.06,463.97,0.00
406.96,477.93,0.00
408.03,493.94,0.00
408.93,507.44,0.00
410.00,523.67,0.00
411.07,539.60,0.00
412.00,550.88,0.00
413.07,566.12,0.00
414.00,578.25,0.00
415.07,590.83,0.00
416.00,604.44,0.00
417.07,617.29,0.00
418.00,630.06,0.00
419.07,638.90,0.00
420.00,647.25,0.00
421.06,664.40,0.00
421.96,671.29,0.00
423.03,679.94,0.00
423.93,680.11,0.00
425.00,688.76,0.00
426.06,696.47,0.00
426.96,694.67,0.00
428.03,696.11,0.00
428.93,695.75,0.00
430.00,695.02,0.00
431.07,693.90,0.00
432.00,692.37,0.00
433.07,689.19,0.00
434.00,684.30,0.00
435.07,677.34,0.00
436.00,673.41,0.00
437.07,672.47,0.00
438.00,663.16,0.00
439.07,659.37,0.00
440.00,655.46,0.00
441.06,645.94,0.00
441.96,642.40,0.00
443.03,634.29,0.00
443.93,630.92,0.00
445.00,624.44,0.00
446.06,618.44,0.00
446.96,611.94,0.00
448.03,605.76,0.00
448.93,597.71,0.00
450.00,591.72,0.00
451.06,584.31,0.00
451.96,580.24,0.00
453.03,570.69,0.00
453.93,563.75,0.00
455.00,555.44,0.00
456.06,550.43,0.00
456.96,544.17,0.00
458.03,533.64,0.00
458.93,526.75,0.00
460.00,517.59,0.00
461.06,509.73,0.00
461.96,502.84,0.00
463.03,492.34,0.00
463.93,484.78,0.00
465.00,474.26,0.00
466.06,467.46,0.00
466.96,458.53,0.00
468.03,448.61,0.00
468.93,443.26,0.00
470.00,432.86,0.00
471.04,422.20,0.00
471.94,415.10,0.00
